date,review,rating,isEdited,userName,title,developerResponse
2022-01-14 09:50:05,"Tuy dao diện app có vẻ đơn giản nhưng rất tối ưu. Không hiển thị quá nhiều nhưng rất đầy đủ. Chuyển tiền nhanh, thông báo đầy đủ nội dung (kể cả số dư và lời nhắn). Lịch sử giao dịch rất rõ ràng. Đăng nhập nhanh, thao tác Face ID cả cảm ứng vân tay tiện lợi nên không cần nhập mật khẩu và mã nhiều lần. Mọi thứ đều được tối ưu hoá nên rất hài lòng.",5,False,khachhangcua Tech,Đánh giá cao,
2022-02-25 05:14:18,Tính bảo mật. Nên để ở dạng nhập mật khẩu và mã bảo mật khi chuyển khoản như phần mềm cũ. Để tăng tính bảo mật cho tài khoản,5,False,Tai Balotelli,Bảo mật không cao.,
2022-02-12 13:56:34,"Nhờ bên phía ngân hàng nên thêm biến động số tiền hiện có trong mỗi lần chuyển tiền hoặc được cộng tiền thêm sau khi giao dịch trong phần lịch sử giao dịch của từng lần . Ví dụ :,có 500k lịch sử giao dịch cộng 100k : tổng số tiền hiện có là 600k",4,False,Grab Hoài,Nên thêm vài,
2022-01-17 08:17:00,Không thấy hiện số sư khi chuyển hoặc nhận tiền. Chắc có khi lại cắt bỏ ngân hàng này chuyển ngân hàng khác thôi,1,False,Ngo Van Phi,Quá chán,
2022-03-16 10:12:04,"- Ko đủ tính năng
- Ít tính năng
- Không đồng bộ thẻ visa nên ko thể nào thanh toán thẻ thuận tiện
- Không kiểm tra đc các thẻ đang còn dư nợ bao nhiêu
- Thao tác chuyển tiền dài như 1 dòng sông- bất tiện
- PO của app đang nghĩ gì????",1,False,HLS1986,Ko hiểu tại sao app này lại đc phát hành???,
2022-02-28 04:50:28,"Không thích app mới này , không bằng app cũ , giao dịch trừ tiền không báo số dư cũ bao nhiêu và sau khi giao dịch số dư còn bao nhiêu để theo dõi",1,False,TuMan1990,Không thấy thông báo biến động số dư,
2022-02-17 12:07:05,Nên có tính năng ẩn số dư tài khoản trong mục tài khoản giống như vietinbank,4,False,dlsaccarozoo,Bảo mật riêng tư tài khoản,
2022-04-10 02:38:16,Fast mobile đang ngon bắt ép chuyển qua xài cái app củ chuối này ko đáng nổi 1 ⭐️,1,False,user1848829,Ứng dụng banking tệ hại nhất,
2022-02-23 05:06:10,Nâng cấp mà sao thấy nó k được thuận tiện hơn cái cũ là saooo? Nhìn cái app mà muốn đổi ngân hàng lun á:((((,1,False,Binhhhhdayyyyy,App,
2022-02-24 05:07:01,Chưa thấy app nào chán như cái app này. Dùng bực cả mình. Đổi làm cái gì ko biết nữa,1,False,hoangthuhakem,App quá chán,
